CL1,CD1,CM1,CL2,CD2,CM2,CL3,CD3,CM3,CL4,CD4,CM4
-0.61581,2.6933,0.63885,-1.0337,2.4138,0.82309,-1.1179,2.229,0.80803,-1.095,2.9728,1.1972
-0.30315,2.6527,0.42774,-0.94816,2.5275,0.74097,-0.99835,2.3822,0.71807,-1.3179,2.9366,1.2066
-0.17399,2.146,0.24327,-0.61663,2.5579,0.54926,-0.64579,2.4374,0.52689,-1.4154,2.8698,1.1229
0.02023,1.8648,0.07521,-0.26819,2.5636,0.34048,-0.29744,2.4104,0.31325,-1.1286,2.8647,0.92924
0.50566,1.8474,-0.17943,0.08382,2.5283,0.09924,0.03523,2.4075,0.09113,-0.72606,2.8023,0.68363
-0.02023,1.8648,-0.07521,1.1286,2.8647,-0.92924,0.29744,2.4104,-0.31325,0.26819,2.5636,-0.34048
0.17399,2.146,-0.24327,1.4154,2.8698,-1.1229,0.64579,2.4374,-0.52689,0.61663,2.5579,-0.54926
0.30315,2.6527,-0.42774,1.3179,2.9366,-1.2066,0.99835,2.3822,-0.71807,0.94816,2.5275,-0.74097
0.61581,2.6933,-0.63885,1.095,2.9728,-1.1972,1.1179,2.229,-0.80803,1.0337,2.4138,-0.82309
0.86365,2.7705,-0.80842,0.8683,3.2177,-1.2684,1.0499,2.3318,-0.87906,0.96709,2.4983,-0.88571
0.98459,2.7942,-0.92587,0.4951,3.0292,-1.1682,0.92994,2.4473,-0.92631,0.79011,2.4539,-0.88347
0.85546,2.6354,-0.90006,0.09812,2.5028,-0.95159,0.7045,2.5517,-0.95676,0.6043,2.5322,-0.91369
0.59918,2.097,-0.73744,-0.1946,1.8631,-0.71886,0.49149,2.6486,-1.0011,0.41896,2.6114,-0.95443
0.28381,1.5388,-0.55045,-0.34274,1.3858,-0.59848,0.25601,2.7641,-1.064,0.24382,2.7767,-1.0452
0.12659,1.4643,-0.58278,-0.45374,1.327,-0.66388,-0.07832,2.758,-1.0813,-0.00713,2.7573,-1.0668
0.08585,1.8128,-0.79304,-0.72511,1.6119,-0.89289,-0.48576,2.4585,-0.98107,-0.31877,2.6454,-1.0591
-0.11426,2.2571,-0.99792,-1.1806,1.8032,-1.0522,-0.77926,2.0367,-0.83473,-0.53413,2.5266,-1.0682
-0.52701,2.5157,-1.1147,-1.4381,1.8161,-1.1219,-1.4272,1.5231,-0.63266,-1.0015,1.9821,-0.88653
-0.8196,2.2164,-1.0368,-1.3443,1.9128,-1.2512,-1.5467,1.5615,-0.75022,-1.6104,1.5788,-0.80668
-1.5361,1.5913,-0.84979,-1.1257,2.1299,-1.3792,-1.5651,1.7548,-0.93959,-1.5407,1.6731,-0.93077
-1.6133,1.579,-0.93814,-2.2342,1.5046,-1.2387,-1.1862,2.011,-1.1517,-1.2469,1.9604,-1.1182
-1.5666,1.6265,-1.0369,-2.2815,1.0798,-1.073,-1.0245,2.1392,-1.2869,-0.99282,2.0746,-1.2239
-1.4104,1.8254,-1.1805,-1.9294,0.96446,-0.94937,-1.0696,2.1871,-1.3624,-0.96482,2.062,-1.25
-1.0815,2.0033,-1.274,-2.1235,1.1696,-1.1295,-0.97636,2.1031,-1.3238,-0.98298,2.0442,-1.2462
-1.1049,1.998,-1.2893,-1.3619,1.7116,-1.1927,-0.92564,2.0822,-1.2941,-0.94798,1.9512,-1.1752
-1.1322,1.9515,-1.2576,-0.64085,1.9067,-0.97509,-0.82541,1.9856,-1.1718,-0.9169,2.0029,-1.1467
-1.0758,1.9612,-1.2281,-0.40948,1.8128,-0.73229,-0.71652,1.9643,-1.0392,-0.76562,1.9822,-1.0176
-1.0046,1.8621,-1.0986,-0.12662,1.7422,-0.46648,-0.53183,2.011,-0.89867,-0.54776,1.9252,-0.82555
-0.97524,1.7797,-0.94425,0.15465,1.7913,-0.24441,-0.48563,1.9528,-0.75131,-0.30893,1.8269,-0.59505
-0.90316,1.6792,-0.75307,0.23104,1.7827,-0.04059,-0.61228,1.5824,-0.52509,0.00165,1.8159,-0.36446
-0.57639,1.6083,-0.50163,0.35051,1.3593,0.19005,-0.3398,1.2458,-0.24753,0.38744,1.8195,-0.12546
-0.12316,1.6368,-0.24012,0.6374,1.264,0.31732,0.22276,1.1897,-0.01649,0.71842,1.7459,0.13185
0.45603,1.7615,0.05045,0.92495,1.5362,0.37983,0.79185,1.5082,0.21367,0.54523,1.8423,0.06626
0.74951,1.7557,0.2333,0.83532,2.0952,0.29264,1.0089,2.0635,0.21187,0.32776,2.2838,-0.05077
0.28314,1.9254,-0.00683,0.44664,2.5411,0.13367,0.63441,2.4556,0.00076363,0.21141,2.5265,-0.06571
0.12017,2.1583,-0.06658,0.06959,2.8982,0.02591,0.19934,2.7499,-0.17288,0.10253,2.6643,-0.06718
-0.01144,2.3084,-0.07658,-0.15946,2.82,-0.01444,-0.01271,2.8679,-0.21078,0.00714,2.9372,-0.0599
-0.08666,2.4762,-0.0711,-0.23439,2.845,0.01796,-0.15723,2.9093,-0.20902,-0.07118,2.9743,-0.03814
-0.13788,2.6247,-0.05242,-0.29567,2.8057,0.05258,-0.30471,2.6841,-0.20352,-0.14547,3.0945,-0.01652
-0.20568,2.7706,-0.0308,-0.38823,2.8918,0.08479,-0.43759,2.2118,-0.19034,-0.23619,3.1758,0.01538
-0.278,2.871,-0.0048,-0.447,2.809,0.113,-0.339,1.8391,-0.129,-0.2996,3.3022,0.0488
